fichier,species,t_start,t_end,duration,mean_confidence
sequence_07.wav,Baleine à bosse,14.0,17.0,3.0,0.551
sequence_07.wav,Baleine à bosse,23.0,28.0,5.0,0.692
sequence_07.wav,Baleine à bosse,56.0,61.0,5.0,0.73
sequence_07.wav,Baleine à bosse,66.0,69.0,3.0,0.608
sequence_07.wav,Béluga,116.0,120.0,4.0,0.684
sequence_07.wav,Baleine à bosse,118.0,121.0,3.0,0.563
sequence_07.wav,Baleine à bosse,130.0,135.0,5.0,0.764
sequence_07.wav,Baleine à bosse,141.0,146.0,5.0,0.822
sequence_07.wav,Baleine à bosse,184.0,187.0,3.0,0.587
sequence_07.wav,Baleine à bosse,197.0,199.0,2.0,0.753
